x,y,Ex,Ey,E
-8.00000e+00,-4.00000e+00,3.32373e-01,2.63127e-01,4.23919e-01
-8.00000e+00,-3.50000e+00,3.82588e-01,2.56490e-01,4.60608e-01
-8.00000e+00,-3.00000e+00,4.33239e-01,2.42143e-01,4.96316e-01
-8.00000e+00,-2.50000e+00,4.82181e-01,2.19458e-01,5.29774e-01
-8.00000e+00,-2.00000e+00,5.26988e-01,1.88338e-01,5.59631e-01
-8.00000e+00,-1.50000e+00,5.65156e-01,1.49325e-01,5.84551e-01
-8.00000e+00,-1.00000e+00,5.94362e-01,1.03633e-01,6.03329e-01
-8.00000e+00,-5.00000e-01,6.12713e-01,5.30923e-02,6.15009e-01
-8.00000e+00,0.00000e+00,6.18973e-01,1.82146e-17,6.18973e-01
-8.00000e+00,5.00000e-01,6.12713e-01,-5.30923e-02,6.15009e-01
-8.00000e+00,1.00000e+00,5.94362e-01,-1.03633e-01,6.03329e-01
-8.00000e+00,1.50000e+00,5.65156e-01,-1.49325e-01,5.84551e-01
-8.00000e+00,2.00000e+00,5.26988e-01,-1.88338e-01,5.59631e-01
-8.00000e+00,2.50000e+00,4.82181e-01,-2.19458e-01,5.29774e-01
-8.00000e+00,3.00000e+00,4.33239e-01,-2.42143e-01,4.96316e-01
-8.00000e+00,3.50000e+00,3.82588e-01,-2.56490e-01,4.60608e-01
-8.00000e+00,4.00000e+00,3.32373e-01,-2.63127e-01,4.23919e-01
-8.00000e+00,4.50000e+00,2.84325e-01,-2.63063e-01,3.87354e-01
-8.00000e+00,5.00000e+00,2.39701e-01,-2.57512e-01,3.51808e-01
-8.00000e+00,5.50000e+00,1.99289e-01,-2.47749e-01,3.17956e-01
-8.00000e+00,6.00000e+00,1.63470e-01,-2.34988e-01,2.86255e-01
-8.00000e+00,6.50000e+00,1.32298e-01,-2.20304e-01,2.56976e-01
-8.00000e+00,7.00000e+00,1.05590e-01,-2.04593e-01,2.30234e-01
-8.00000e+00,7.50000e+00,8.30128e-02,-1.88561e-01,2.06025e-01
-8.00000e+00,8.00000e+00,6.41453e-02,-1.72737e-01,1.84263e-01
-8.00000e+00,8.50000e+00,4.85364e-02,-1.57496e-01,1.64805e-01
-8.00000e+00,9.00000e+00,3.57381e-02,-1.43081e-01,1.47477e-01
-8.00000e+00,9.50000e+00,2.53295e-02,-1.29638e-01,1.32090e-01
-8.00000e+00,1.00000e+01,1.69293e-02,-1.17236e-01,1.18452e-01
-7.50000e+00,-1.00000e+01,1.05164e-02,1.24654e-01,1.25097e-01
-7.50000e+00,-9.50000e+00,1.87695e-02,1.38976e-01,1.40238e-01
-7.50000e+00,-9.00000e+00,2.92417e-02,1.54740e-01,1.57478e-01
-7.50000e+00,-8.50000e+00,4.24151e-02,1.71934e-01,1.77088e-01
-7.50000e+00,-8.00000e+00,5.88413e-02,1.90463e-01,1.99345e-01
-7.50000e+00,-7.50000e+00,7.91333e-02,2.10117e-01,2.24524e-01
-7.50000e+00,-7.00000e+00,1.03944e-01,2.30525e-01,2.52876e-01
-7.50000e+00,-6.50000e+00,1.33925e-01,2.51116e-01,2.84597e-01
-7.50000e+00,-6.00000e+00,1.69667e-01,2.71070e-01,3.19790e-01
-7.50000e+00,-5.50000e+00,2.11601e-01,2.89289e-01,3.58417e-01
-7.50000e+00,-5.00000e+00,2.59885e-01,3.04384e-01,4.00237e-01
-7.50000e+00,-4.50000e+00,3.14260e-01,3.14715e-01,4.44752e-01
